ref,срещания,белег,църковнославянски (мерен),bg — ПОПРАВИ ТУК,целият стих
Ps.18:5,31,,"Во всю̀ зе́млю и҆зы́де вѣща́нїе и҆́хъ, и҆ въ концы̑ вселе́нныѧ глаго́лы и҆́хъ","Техният звук се носи по цяла земя, и техните думи до краищата на вселената.","Техният звук се носи по цяла земя, и техните думи до краищата на вселената. В тях Той е поставил жилище за слънцето,"
Ps.88:8,28,,Бг҃ъ прославлѧ́емь въ совѣ́тѣ ст҃ы́хъ,"Страшен е Бог във великия събор на светиите,","Страшен е Бог във великия събор на светиите, страшен е Той за всички, които Го окръжават."
Ps.111:2,25,,Си́льно на землѝ бꙋ́детъ сѣ́мѧ є҆гѡ̀,Неговото семе ще бъде силно на земята;,Неговото семе ще бъде силно на земята; родът на праведните ще бъде благословен.
Ps.88:6,22,,"И҆сповѣ́дѧтъ нб҃са̀ чꙋдеса̀ твоѧ̑, гдⷭ҇и","И небесата ще прославят, Господи,","И небесата ще прославят, Господи, Твоите чудни дела и Твоята истина в събранията на светиите."
Ps.63:11,22,,Возвесели́тсѧ првⷣникъ ѡ҆ гдⷭ҇ѣ и҆ ᲂу҆пова́етъ на него̀,А праведникът ще се развесели в Господа и ще се уповава Нему;,А праведникът ще се развесели в Господа и ще се уповава Нему; и ще бъдат похвалени всички прави по сърце.
Ps.63:2,16,,"Оу҆слы́ши, бж҃е, гла́съ мо́й, внегда̀ моли́тимисѧ къ тебѣ̀","Чуй, Боже, гласа ми, кога Ти се моля;","Чуй, Боже, гласа ми, кога Ти се моля; запази живота ми от врага, който ме застрашава;"
Ps.44:13,16,НЕ Е ПРЕНЕСЕНО,лицꙋ̀ твоемꙋ̀ помо́лѧтсѧ бога́тїи лю́дстїи.,,И дъщерята тирска с дарове и най-богатите от народа ще умоляват лицето Ти.
Ps.67:36,13,,Ди́венъ бг҃ъ во ст҃ы́хъ свои́хъ: бг҃ъ і҆и҃левъ,"Страшен си Ти, Боже, в Твоето светилище. Бог Израилев ","Страшен си Ти, Боже, в Твоето светилище. Бог Израилев - Той дава сила и крепост на (Своя) народ. Благословен Бог!"
Ps.131:11,9,,"Клѧ́тсѧ гдⷭ҇ь дв҃дꙋ и҆́стиною, и҆ не ѿве́ржетсѧ є҆ѧ̀","Кле се Господ Давиду в истината, и няма да се отрече от нея:","Кле се Господ Давиду в истината, и няма да се отрече от нея: от плода на твоята утроба ще поставя на престола ти."
Est.4:17,9,,"спасе́нїѧ ра́ди і҆и҃лева, но сїѐ сотвори́хъ, да не возда́мъ сла́вы человѣ́кꙋ па́че сла́вы бж҃їѧ, и҆ не поклоню́сѧ никомꙋ́же, кромѣ̀ тебє̀ гдⷭ҇а моегѡ̀, и҆ не сотворю̀ сїѧ̑ въ го́рдости: и҆ нн҃ѣ, гдⷭ҇и бж҃е, цр҃ю̀, бж҃е а҆враа́мовъ, пощадѝ лю́ди твоѧ̑, ꙗ҆́кѡ назира́ютъ на́мъ въ поги́бель и҆ вожделѣ́ша погꙋби́ти є҆́же и҆з̾ нача́ла наслѣ́дїе твоѐ: не пре́зри достоѧ̑нїѧ твоегѡ̀, є҆́же и҆зба́вилъ є҆сѝ тебѣ̀ ѿ землѝ є҆гѵ́петскїѧ: ᲂу҆слы́ши моли́твꙋ мою̀, и҆ ᲂу҆млⷭ҇рдисѧ над̾ жре́бїемъ твои́мъ, и҆ ѡ҆братѝ рыда́нїе на́ше въ весе́лїе, да живꙋ́ще восхвали́мъ и҆́мѧ твоѐ, гдⷭ҇и, и҆ не погꙋбѝ ᲂу҆́стъ восхвалѧ́ющихъ тѧ̀, гдⷭ҇и. И҆ ве́сь і҆и҃ль возопѝ ѿ крѣ́пости своеѧ̀, ꙗ҆́кѡ сме́рть и҆́хъ пред̾ ѻ҆чи́ма и҆́хъ: и҆ є҆сѳи́рь цари́ца притечѐ ко гдⷭ҇ꙋ въ по́двизѣ сме́рти ѡ҆бдержи́ма, и҆ сне́мши ри̑зы сла́вы своеѧ̀, ѡ҆блече́сѧ въ ри̑зы тѣсноты̀ и҆ пла́ча, и҆ вмѣ́стѡ многоцѣ́нныхъ ма́стей и҆ благово́нныхъ пе́пеломъ и҆ гно́емъ посы́па главꙋ̀ свою̀, и҆ пло́ть свою̀ смирѝ ѕѣлѡ̀, и҆ ко́ждо мѣ́сто ᲂу҆краше́нїѧ весе́лїѧ своегѡ̀ и҆спо́лни расте́рзанными власы̑ свои́ми, и҆ молѧ́шесѧ гдⷭ҇ꙋ бг҃ꙋ і҆и҃левꙋ и҆ речѐ: гдⷭ҇и мо́й, цр҃ю̀ на́шъ, ты̀ є҆сѝ є҆ди́нъ, помозѝ мѝ є҆ди́ной, и҆ не и҆мѣ́ющей по́мощи ра́звѣ тебє̀, ꙗ҆́кѡ бѣда̀ моѧ̀ въ рꙋцѣ̀ мое́й: а҆́зъ слы́шахъ, гдⷭ҇и, ѿ ѻ҆тца̀ моегѡ̀ въ пле́мени ѻ҆те́чества моегѡ̀, ꙗ҆́кѡ ты̀ гдⷭ҇и, прїѧ́лъ є҆сѝ і҆и҃лѧ ѿ всѣ́хъ ꙗ҆зы̑къ и҆ ѻ҆тцы̀ на́шѧ ѿ всѣ́хъ пра́ѻтєцъ и҆́хъ въ наслѣ́дїе вѣ́чное, и҆ сотвори́лъ є҆сѝ и҆̀мъ, є҆ли̑ка гл҃алъ є҆сѝ: и҆ нн҃ѣ согрѣши́хомъ пред̾ тобо́ю, и҆ пре́далъ є҆сѝ на́съ въ рꙋ́ки вра̑гъ на́шихъ, зане́же сла́вихомъ бо́ги и҆́хъ: првⷣнъ є҆сѝ, гдⷭ҇и: и҆ нн҃ѣ не дово́льни бы́ша горе́стїю рабо́ты на́шеѧ, но положи́ша рꙋ́ки своѧ̑ на рꙋ́ки і҆́дѡлъ свои́хъ, и҆сто́ргнꙋти за́повѣдь ᲂу҆́стъ твои́хъ и҆ погꙋби́ти наслѣ́дїе твоѐ, и҆ загради́ти ᲂу҆ста̀ хва́лѧщихъ тѧ̀ и҆ ᲂу҆гаси́ти сла́вꙋ хра́ма твоегѡ̀ и҆ ѻ҆лтарѧ̀ твоегѡ̀, и҆ ѿве́рзти ᲂу҆ста̀ ꙗ҆зы́кѡмъ во ᲂу҆гождє́нїѧ сꙋ́етныхъ и҆ ᲂу҆диви́тисѧ царе́ви плотско́мꙋ во вѣ́ки: не преда́ждь, гдⷭ҇и, ски́птра твоегѡ̀ си̑мъ, и҆̀же не сꙋ́ть, и҆ да не посмѣю́тсѧ въ паде́нїи на́шемъ, но ѡ҆братѝ совѣ́тъ и҆́хъ на нѧ̀, наче́ньшаго же на на́съ въ при́тчꙋ положѝ: помѧнѝ, гдⷭ҇и, позна́нъ бꙋ́ди во вре́мѧ ско́рби на́шеѧ и҆ менѐ сподо́би дерзнове́нїѧ: цр҃ю̀ богѡ́въ и҆ всѧ́кагѡ нача́льства содержи́телю, да́ждь сло́во благоꙋго́дно во ᲂу҆ста̀ моѧ̑ пред̾ льво́мъ, и҆ премѣнѝ се́рдце є҆гѡ̀ въ ненавидѣ́нїе вою́ющагѡ ны̀, во и҆стребле́нїе є҆гѡ̀ и҆ съ ни́мъ совѣ́тꙋющихъ: на́съ же и҆змѝ рꙋко́ю твое́ю"," но аз вършех това, за да не въздам на човек слава по-горе от Божията слава и да се не покланям никому, освен на Тебе, моя Господ, и аз не ще върша това от гордост. И сега, Господи Боже, Царю, Боже Авраамов, пощади Твоя народ; защото нам кроят гибел и искат да изтребят исконното Твое наследие; недей презира Твоето достояние, което Ти избави за Себе Си из Египетската земя; чуй моята молитва и смили се над Твоето наследие и обърни тъгата ни във веселие, та, като; живеем, да възпяваме Твоето име, Господи, и не погубвай устата, които Те прославят, Господи. - И всички израилтяни викаха с все сила, защото тяхната смърт беше пред очите им. И царица Естир прибягна към Господа, обвзета от смъртна горест, и, като съблече дрехите на славата си, облече дрехи за скръб и тъга и вместо скъпоценни масла посипа с пепел и прах главата си и твърде много изнури тялото си, и всяко място, украсявано във веселите й дни, покри с разпуснатата си коса и молеше се на Господа, Бога Израилев, думайки: Господи мой! Ти едничък си наш Цар; помогни на мене, която съм сама и нямам помощник, освен Тебе! защото моята неволя е близо до мене. Слушала съм, Господи, от баща си в моето родно коляно, че Ти, Господи, си Си избрал Израиля от всички народи, и нашите отци - от всичките им прадеди, за вечно наследие, и си извършил за тях това, за което си им говорил. Сега ние съгрешихме пред Тебе, и Ти ни предаде в ръцете на нашите врагове, задето славехме техните богове: праведен си Ти, Господи! Но сега те не се задоволиха с нашето горко робство, а туриха ръцете си в ръцете на своите идоли, за да унищожат заповедта на Твоите уста, да изтребят Твоето наследие, да запушат устата на ония, които Те възпяват, да угасят славата на Твоя храм и на Твоя жертвеник и да отворят устата на народите за прослава на лъжовните богове, и плътският цар да се величае довека. Не предавай, Господи, Твоя скиптър на несъществуващи богове, и нека се не радват на нашето падане, а обърни кроежа им върху тях самите, и клеветника против нас - предай на позор. Спомни си, Господи, яви се нам във време на скръбта ни и дай ми мъжество. Царю на боговете и Владико на всяко началство, подари на устата ми благоприятна дума пред тоя лъв и изпълни сърцето му с омраза към оня, който ни преследва, за гибел нему и на неговите едномисленици: нас пък избави чрез Твоята ръка и помогни на мене, която съм сама и нямам помощник,","Отиде Мардохей и направи, както му заповяда Естир. (И моли се той Господу, като си спомняше всички Господни дела и думаше: Господи, Господи, Царю, Вседържителю! Всички са в Твоя власт, и няма кой да Ти се противи, кога поискаш да спасиш Израиля; Ти създаде небето и земята и всичко чудно в поднебесието; Ти си Господ на всички, и няма такъв, който би се противил на Тебе, на Господа. Ти знаеш всичко; Ти знаеш, Господи, че не за обида и не от гордост и не от пустославие аз вършех това, дето не се покланях на пустославния Амана, защото аз драговолно бих целувал стъпките на нозете му за спасение на Израиля; но аз вършех това, за да не въздам на човек слава по-горе от Божията слава и да се не покланям никому, освен на Тебе, моя Господ, и аз не ще върша това от гордост. И сега, Господи Боже, Царю, Боже Авраамов, пощади Твоя народ; защото нам кроят гибел и искат да изтребят исконното Твое наследие; недей презира Твоето достояние, което Ти избави за Себе Си из Египетската земя; чуй моята молитва и смили се над Твоето наследие и обърни тъгата ни във веселие, та, като; живеем, да възпяваме Твоето име, Господи, и не погубвай устата, които Те прославят, Господи. - И всички израилтяни викаха с все сила, защото тяхната смърт беше пред очите им. И царица Естир прибягна към Господа, обвзета от смъртна горест, и, като съблече дрехите на славата си, облече дрехи за скръб и тъга и вместо скъпоценни масла посипа с пепел и прах главата си и твърде много изнури тялото си, и всяко място, украсявано във веселите й дни, покри с разпуснатата си коса и молеше се на Господа, Бога Израилев, думайки: Господи мой! Ти едничък си наш Цар; помогни на мене, която съм сама и нямам помощник, освен Тебе! защото моята неволя е близо до мене. Слушала съм, Господи, от баща си в моето родно коляно, че Ти, Господи, си Си избрал Израиля от всички народи, и нашите отци - от всичките им прадеди, за вечно наследие, и си извършил за тях това, за което си им говорил. Сега ние съгрешихме пред Тебе, и Ти ни предаде в ръцете на нашите врагове, задето славехме техните богове: праведен си Ти, Господи! Но сега те не се задоволиха с нашето горко робство, а туриха ръцете си в ръцете на своите идоли, за да унищожат заповедта на Твоите уста, да изтребят Твоето наследие, да запушат устата на ония, които Те възпяват, да угасят славата на Твоя храм и на Твоя жертвеник и да отворят устата на народите за прослава на лъжовните богове, и плътският цар да се величае довека. Не предавай, Господи, Твоя скиптър на несъществуващи богове, и нека се не радват на нашето падане, а обърни кроежа им върху тях самите, и клеветника против нас - предай на позор. Спомни си, Господи, яви се нам във време на скръбта ни и дай ми мъжество. Царю на боговете и Владико на всяко началство, подари на устата ми благоприятна дума пред тоя лъв и изпълни сърцето му с омраза към оня, който ни преследва, за гибел нему и на неговите едномисленици: нас пък избави чрез Твоята ръка и помогни на мене, която съм сама и нямам помощник, освен Тебе, Господи! Ти всичко познаваш и знаеш, че мразя славата на беззаконни и се гнуся от леглото на необрязани и от всеки другоплеменник; Ти знаеш, че аз съм принудена да се гнуся от знака на моята гордост, който стои на главата ми, когато се появявам, - гнуся се от него като от дреха, омърсена с кръв, и го не нося в дните на уединението си. И Твоята рабиня не е вкусила от трапезата на Амана и не е много ценила царско угощение, не е пила идоложертвено вино и не се е веселила Твоята рабиня от деня, когато се промени моята съдба доднес, освен за Тебе, Господи, Боже Авраамов, Боже, Който имаш сила над всички, чуй гласа на безнадеждните и спаси ни от ръцете на ония, които кроят зло, и избави ме от моя страх.)"
