ref,bg_ref,bg_text,бележка
Ps.44:13,,"най-богатите от народа ще умоляват лицето Ти.",цс „лицу твоему помолятся богатии людстии"
Ps.27:1,,"Към Тебе, Господи, викам: твърдиня моя, не бъди безмълвен към мене,",границата е при „та да не би"
Ps.92:6,Ps.92:5,"На Твоя дом, Господи, подобава светиня",⚠ ДРУГ НОМЕР: бг брои надписанието като стих 0
Ps.11:2,Ps.11:1,"Спаси (ме), Господи, защото не остана праведен,",⚠ ДРУГ НОМЕР: същата причина
Ps.118:133,,"Утвърди стъпките ми в Твоето слово",границата е без пунктуация — при „и не давай"
Ps.49:1,,"Бог на боговете, Господ заговори и призовава земята",границата е при „от изгрев-слънце"
Ps.39:2,,"Твърдо се уповавах на Господа, и Той се наклони към мене и чу моите вопли;",целият стих
Ps.24:1,,"Към Тебе, Господи, въздигам душата си.",целият стих — българският е по-къс от цс
Ps.54:9,,"побързал бих да се скрия от вятъра и бурята.",⚠ преводите се разминават по смисъл; целият стих
Ps.31:11,,"Веселете се в Господа и радвайте се, праведници; тържествувайте, всички прави по сърце.",целият стих
Ps.28:1,,"Въздайте Господу, синове Божии, въздайте Господу слава и чест,",⚠ цс „сыны овни" срещу бг „слава и чест" — различни редакции; целият стих
Ps.49:5,,"съберете при Мене Моите светии, които при жертва са встъпили в завет с Мене.",целият стих
Ps.88:3,,"Защото, казвам: навеки е основана милостта,",автоматичното предложение е вярно
