order,code,testament,chapters,ru_title
1,Mt,NT,28,От Матфея
2,Mk,NT,16,От Марка
3,Lk,NT,24,От Луки
4,Jn,NT,21,От Иоанна
5,Act,NT,28,Деяния святых Апостолов
6,Jac,NT,5,Иакова
7,1Pet,NT,5,Петра 1-е
8,2Pet,NT,3,2-е
9,1Jn,NT,5,Иоанна 1-е
10,2Jn,NT,1,2-е
11,3Jn,NT,1,3-е
12,Juda,NT,1,Иуды
13,Rom,NT,16,К римлянам
14,1Cor,NT,16,К кори́нфянам 1-е
15,2Cor,NT,13,2-е
16,Gal,NT,6,К гала́там
17,Eph,NT,6,К ефе́сянам
18,Phil,NT,4,К филиппи́йцам
19,Col,NT,4,К коло́ссянам
20,1Thes,NT,5,К фессалоники́йцам 1-е
21,2Thes,NT,3,2-е
22,1Tim,NT,6,К Тимофею 1-е
23,2Tim,NT,4,2-е
24,Tit,NT,3,К Ти́ту
25,Phlm,NT,1,К Филимо́ну
26,Hebr,NT,13,К евреям
27,Apok,NT,22,Откровение Иоанна Богослова (Апока́липсис)
28,Gen,OT,50,Бытие́
29,Ex,OT,40,Исход
30,Lev,OT,27,Леви́т
31,Num,OT,36,Числа
32,Deut,OT,34,Второзако́ние
33,Nav,OT,24,Иисуса Навина
34,Judg,OT,21,Суде́й Изра́илевых
35,Rth,OT,4,Руфь
36,1Sam,OT,31,Царств 1-я
37,2Sam,OT,24,2-я
38,1King,OT,22,3-я
39,2King,OT,25,4-я
40,1Chron,OT,29,Паралипоме́нон 1-я
41,2Chron,OT,36,2-я
42,Ezr,OT,10,Е́здры 1-я
43,2Ezr,OT,9,2-я
44,Nehem,OT,13,Нееми́и
45,Tov,OT,14,Тови́т
46,Judf,OT,16,Иуди́фь
47,Est,OT,10,Есфи́рь
48,1Mac,OT,16,Маккаве́йская 1-я
49,2Mac,OT,15,2-я
50,3Mac,OT,7,3-я
51,Job,OT,42,И́ова
52,Ps,OT,151,Псалти́рь
53,Prov,OT,31,При́тчей Соломо́новых
54,Eccl,OT,12,Екклезиа́ста
55,Song,OT,8,Песни Песне́й Соломо́на
56,Solom,OT,19,Премудрости Соломона
57,Sir,OT,51,"Премудрости Иисуса, сына Сира́хова"
58,Is,OT,66,Иса́ии
59,Jer,OT,52,Иереми́и
60,Lam,OT,5,Плач Иереми́и
61,pJer,OT,1,Послание Иереми́и
62,Bar,OT,5,Вару́ха
63,Ezek,OT,48,Иезекии́ля
64,Dan,OT,14,Дании́ла
65,Hos,OT,14,Оси́и
66,Joel,OT,3,Иoи́ля
67,Am,OT,9,Амо́са
68,Avd,OT,1,А́вдия
69,Jona,OT,4,Ио́ны
70,Mic,OT,7,Михе́я
71,Naum,OT,3,Нау́ма
72,Habak,OT,3,Авваку́ма
73,Sofon,OT,3,Софо́нии
74,Hag,OT,2,Агге́я
75,Zah,OT,14,Заха́рии
76,Mal,OT,4,Мала́хии
77,3Ezr,OT,16,Ездры 3-я
