code,bg_title,bg_short,bg_abbr
Mt,Евангелие от Матей,От Матея,Мат.
Mk,Евангелие от Марко,От Марка,Марк.
Lk,Евангелие от Лука,От Лука,Лук.
Jn,Евангелие от Йоан,От Иоана,Йоан.
Act,Деяния на светите апостоли,Деяния на светите Апостоли,Деян.
Jac,Съборно послание на св. ап. Яков,Иакова,Иак.
1Pet,Първо съборно послание на св. ап. Петър,Петра 1,1 Петр.
2Pet,Второ съборно послание на св. ап. Петър,Петра 2,2 Петр.
1Jn,Първо съборно послание на св. ап. Йоан,Иоана Богослова 1,1 Йоан.
2Jn,Второ съборно послание на св. ап. Йоан,Иоана Богослова 2,2 Йоан.
3Jn,Трето съборно послание на св. ап. Йоан,Иоана Богослова 3,3 Йоан.
Juda,Съборно послание на св. ап. Юда,Иуда,Юда
Rom,Послание до римляни,До римляни,Рим.
1Cor,Първо послание до коринтяни,До коринтяни 1,1 Кор.
2Cor,Второ послание до коринтяни,До коринтяни 2,2 Кор.
Gal,Послание до галатяни,До галатяни,Гал.
Eph,Послание до ефесяни,До ефесяни,Еф.
Phil,Послание до филипяни,До филипяни,Флп.
Col,Послание до колосяни,До колосяни,Кол.
1Thes,Първо послание до солуняни,До солуняни 1,1 Сол.
2Thes,Второ послание до солуняни,До солуняни 2,2 Сол.
1Tim,Първо послание до Тимотей,До Тимотея 1,1 Тим.
2Tim,Второ послание до Тимотей,До Тимотея 2,2 Тим.
Tit,Послание до Тит,До Тита,Тит.
Phlm,Послание до Филимон,До Филимона,Флм.
Hebr,Послание до евреи,До евреите,Евр.
Apok,Откровение на св. Йоан Богослов,Откровение на св. Иоана Богослова,Откр.
Gen,Битие,Битие,Бит.
Ex,Изход,Изход,Изх.
Lev,Левит,Левит,Лев.
Num,Числа,Числа,Чис.
Deut,Второзаконие,Второзаконие,Втор.
Nav,Книга на Иисус Навин,Иисус Навин,Иис. Нав.
Judg,Книга Съдии Израилеви,Съдии,Съд.
Rth,Книга Рут,Рут,Рут
1Sam,Първа книга Царства,1 Царства,1 Царств.
2Sam,Втора книга Царства,2 Царства,2 Царств.
1King,Трета книга Царства,3 Царства,3 Царств.
2King,Четвърта книга Царства,4 Царства,4 Царств.
1Chron,Първа книга Паралипоменон,1 Паралипоменон,1 Парал.
2Chron,Втора книга Паралипоменон,2 Паралипоменон,2 Парал.
Ezr,Първа книга на Ездра,1 Ездра,1 Ездр.
2Ezr,Втора книга на Ездра,2 Ездра,2 Ездр.
Nehem,Книга на Неемия,Неемия,Неем.
Tov,Книга на Товит,Товит,Тов.
Judf,Книга на Иудит,Иудит,Иудит
Est,Книга на Естир,Естир,Ест.
1Mac,Първа книга Макавейска,1 Макавейска,1 Мак.
2Mac,Втора книга Макавейска,2 Макавейска,2 Мак.
3Mac,Трета книга Макавейска,3 Макавейска,3 Мак.
Job,Книга на Иов,Иов,Иов
Ps,Псалтир,Псалтир,Пс.
Prov,Притчи Соломонови,Притчи,Притч.
Eccl,Книга на Еклисиаст,Еклисиаст,Екл.
Song,Песен на песните,Песен на песните,Песн.
Solom,Книга Премъдрост Соломонова,Премъдрост Соломонова,Прем.
Sir,"Книга Премъдрост на Иисуса, син Сирахов",Иисус Сирахов,Сир.
Is,Книга на пророк Исаия,Исаия,Ис.
Jer,Книга на пророк Иеремия,Иеремия,Иер.
Lam,Плач Иеремиев,Плач Иеремиев,Плач Иер.
pJer,Послание на Иеремия,Послание на Иеремия,Посл. Иер.
Bar,Книга на пророк Варух,Варух,Вар.
Ezek,Книга на пророк Иезекиил,Иезекиил,Иез.
Dan,Книга на пророк Даниил,Даниил,Дан.
Hos,Книга на пророк Осия,Осия,Ос.
Joel,Книга на пророк Иоил,Иоил,Иоил
Am,Книга на пророк Амос,Амос,Ам.
Avd,Книга на пророк Авдий,Авдий,Авд.
Jona,Книга на пророк Иона,Иона,Иона
Mic,Книга на пророк Михей,Михей,Мих.
Naum,Книга на пророк Наум,Наум,Наум
Habak,Книга на пророк Авакум,Авакум,Авак.
Sofon,Книга на пророк Софония,Софония,Соф.
Hag,Книга на пророк Агей,Агей,Аг.
Zah,Книга на пророк Захария,Захария,Зах.
Mal,Книга на пророк Малахия,Малахия,Мал.
3Ezr,Трета книга на Ездра,3 Ездра,3 Ездр.
