code,title,scope,note
c,Церковнослав. (рус. дореф.),all,
utfcs,Церковнослав. (цс),all,
cs,Церковнослав. (рус. гражд.),all,
r,Рус. (Синодальный),all,
ru,Рус. (Синод. с ударе́-ми),all,
b,Рус. (еп. Кассиан),all,
e,Рус. (Юнгеров),all,
ru-pf,Рус. (еп. Порфирий),all,
j,Рус. (Аверинцев),all,
f,Рус. (Бируковы),all,
ru-p,Рус. (К.П. Победоносцев),all,
ru-m,Рус. (прп. Макарий Алтайский),all,
ru-d,Рус. (проф. А.С. Десницкий),all,
ar,Arab (JAB),all,
n,Arab (AVD),all,
az,Azerbaijani,all,
am,Armenian,all,
v,Belarusian,all,
bg,Bulgarian,all,
chn,Chinese (simpl.),all,
hr,Croatian (S&D),all,
cze,Czech (Bible Kralicka [1613]),all,
a,English (NKJV),all,
en-nrsv,English (NRSV),all,
en-kjv,English (KJV),all,
es,Estonian,all,
fi,Finnish (1992),all,
h,French (LSG),all,
y,Georgian (ancient),all,
u,Georgian,all,
de_ml,"German (MLU, 1912)",all,
m,German (GNB),all,
de_el,German (Elberfelder [2006]),all,
g,Greek (NT Byz),nt,
el,Greek (TGV),all,
el-na28,"Greek (NA, 28)",all,
el-r,"Greek (LXX, Rahlfs)",ot,
i,Hebrew,ot,
he,Hebrew NT by Delitzsch,nt,
is,Icelandic,all,
it-cei74,Italian (CEI 1974),all,
it,Italian,all,
jp,Japanese（日本正教会訳）,all,
kk,Kazakh,all,
s,Kyrgyz,all,
l,Latin (Nova Vulgata),all,
lv,Latvian,all,
mt,Maltese,all,
no-b,Norwegian (Bokmål [1930]),all,
ro,Romanian,all,
pl,Polish,all,
pt,Portuguese,all,
sb,Serbian (synod.),all,
z,Serbian,all,
w,Spanish (RVR 1995),all,
se,Swedish (Folkbibeln),all,
syc,Syriac Bible,all,
p,Tajik,all,
t,Tatar,all,
ua,Ukrainian (Homenko),all,
k,Ukrainian (Ogienko),all,
o,Uzbek,all,
