code,bg_title,bg_short,ord,direction,bg_abbr,line_delta,size_delta,font,rubricate,note
bg,Български (синодален),Български,1,ltr,бг,0,0,,0,"⚠ ПРАЗНО = СИСТЕМНИЯТ шрифт, нарочно: той е по-компактен от Charis SIL и на стих с номер отляво това си личи. Същото решение като за дневния и месечния изглед."
utfcs,Църковнославянски,Църковнослав.,2,ltr,цс,-0.2,4,cslavonic,1,"Църковнославянска графика — шрифт Triodion (SIL OFL), с Monomakh за резерв. ⚠ size_delta=2: глифовете на цс шрифтовете са с по-ниска височина на редовата буква, тъй че при еднакъв кегел изглеждат осезаемо по-дребни от системния до тях"
cs,Църковнославянски (гражданска),Църковнослав. (гражд.),3,ltr,цг,0,0,,1,"Системният шрифт. ⚠ НЕ Charis SIL: мерено срещу базата, той НЯМА ꙋ, ѧ, ѡ и титлата, а системният ги има ⚠ rubricate=1 по молба на потребителя (26.08.2026): гражданската азбука носи СЪЩИЯ църковнославянски текст, тъй че рубрикацията важи еднакво — тя е свойство на богослужебната книга, не на графиката."
r,Руски (синодален),Руски,4,ltr,ру,0,0,,0,Системният шрифт — виж бележката при българския
el-r,Гръцки (Септуагинта),Гръцки (LXX),5,ltr,гр,0,0,greek,0,Rahlfs — само Стар завет
g,Гръцки (Нов завет),Гръцки (НЗ),6,ltr,гн,0,0,greek,0,Византийски текст — само Нов завет
l,Латински (Nova Vulgata),Латински,7,ltr,лт,0,0,,0,
i,Иврит,Иврит,8,rtl,ив,0,0,hebrew,0,"Масоретски текст — само Стар завет, и то по еврейския канон"
en-kjv,Английски (KJV),Английски,9,ltr,ан,0,0,,0,King James Version — обществено достояние
sb,Сръбски (синодален),Сръбски,10,ltr,ср,0,0,,0,
y,Грузински (древен),Грузински (др.),11,ltr,гд,0,0,georgian,0,Непълен — има го само за част от книгите
u,Грузински,Грузински,12,ltr,гз,0,0,georgian,0,
