id|fast_period|fast_type|title|text|relaxation
1|0|0|Блажи се|'Дните, в които Типиконът предвижда освобождаване от пост — периодите между 4-те многодневни поста през годината (Рождественски, Велик, Петров и Богородичен), които при това не са сряда или петък, нито се явяват и някой от трите еднодневни поста (навечерие на Богоявление, Усекновение и Въздвижение). 
Разрешена е всякаква храна, включително месо и млечни продукти.'|
2|0|1|Сирна седмица — без месо|Седмицата преди Великия пост е освободена от пост, но вече без месо. Това означава, че млечни продукти, яйца и риба могат да се употребяват включително в сряда и петък.|
3|1|0|Господски празник в постен ден — блажи се|Когато Господски (но не и Богородичен) празник се падне в сряда или петък, постът напълно отпада. На всички Господски празници се блажи, на Богородичните обаче не винаги — ако попаднат в сряда или петък, се спазва пост, но се разрешава риба и вино.|
4|1|6|Обикновена сряда/петък — без олио|Според 69-то правило на Светите апостоли, на което се позовава Типикона, постът в сряда и петък през цялата година се приравнява към Великия пост. Това означава, че се полага да се яде по веднъж на ден сухоядение или без олио, «кроме немощи и праздника» т.е. освен при немощ от болест, престарялост или бременност (при жените), както и на празници, имащи бдение, полиелей или славословие, но на този ден не се чества паметта на вселенски или български светия с такъв празник, поради което и постът остава без олио.|
5|1|4|Сряда/петък от Томина неделя до Петдесетница — с олио|От Томина неделя (Антипасха) до Петдесетница, в дните сряда и петък се допуска по-лек пост, с олио. При това се полагат две трапези в деня. Первая – сухоядение, втората – «совершеннее ясти» сиреч с олио.|
6|1|4|Сряда/петък с олио — заради светия|Според 69-то правило на Светите апостоли, на което се позовава и Типикона, постът в сряда и петък през цялата година се приравнява към Великия пост. Това означава, че се полага да се яде по веднъж на ден сухоядение или без олио, «кроме немощи и праздника» т.е. освен при немощ от болест, престарялост или бременност (при жените), както и на празници, имащи бдение, полиелей или славословие. В случай на такъв празник постът се облегчава, като се позволява добавяне на олио или друга растителна мазнина.|1
7|2|9|Велики петък — пълно въздържание|'Който е немощен от болест, престарялост или бременност (при жените) и поради това не може да издържи строгостта на пълното въздържание, може да вкуси хляб и вода след залез слънце.
Цитат от Типикона: «Подобает же и сие ведати, яко прияхом в Палестине, в сей день Великаго Пятка, не творити Преждеосвященную, ниже паки совершенную Литургию, но ниже трапезу поставляем, ниже ядим в сей день Распятия. Аще же кто будет многонемощен или престарелся, и не могий пребыти постен, дается ему хлеб и вода, по захождении солнца» (Типикон, гл. 49, «Последование часов Святаго Великаго Пятка»). '|
8|2|8|Велика събота — хляб, смокини и вино|По Устав, cъгласно Типикона, във Велика Събота, в самия край на Великия пост, «во 2-й час нощи», т.е. около 19.00 ч., се полага единствена трапеза за деня. «Дает братии по единому укруху хлеба, в пол литры хлебы и по 6 смоквей или фиников и по единей мерней чаши вина. А идеже вина несть, испивают братия квас от меда или от жита». Привеждаме също и Студийския устав, предписващ практически същото: «тако ясти ничтоже ино, но хлеб и овощи и мало вин». |
9|2|6|Велик пост — без олио (сухоядение)|'Съгласно Типикона, през Великия пост, в делнични дни (от понеделника до петък) се предписва въздържание от храна и питие до вечерта, което означава консумиране на храна в 9-я час на дня (византийско време), т.е. около 15:00 ч., при това веднъж на ден сухоядение или без олио. 
Цитат от Типикона: „В субботы же и Недели разрешаем на елей точию и вино. В прочих же седмицах постимся до вечера 5 дней и ядим сухоядение, кроме суббот и недель...".'|
10|2|4|Велик пост — с олио (събота и неделя)|Съгласно Типикона, през Великия пост в съботните и неделни дни, се предписва готвена храна с растително масло и вино два пъти дневно. «В субботы же и Недели разрешаем на елей точию и вино. В прочих же седмицах постимся до вечера 5 дней и ядим сухоядение, кроме суббот и недель...». |
11|2|3|Велик пост — хайвер (Лазарева събота)|„На трапезе учреждаемся варением со елеем. Аще же и икру имамы, да дастся коемуждо брату по три онгии: и вино пием".|
12|2|2|Велик пост — риба|Само два пъти в годината — Връбница: „На трапезе утешение, ядим рыбы и вино пием, благодаряще Бога"; и Благовещение, ако не се пада в Страстна седмица.|
13|3|6|Петров пост — без олио (сухоядение)|„В понедельник, в среду и пяток ни елея вкушаем, ни вина, но постимся до 9-го часа, и ядим в тыя дни сухоядение".|
14|3|4|Петров пост — с олио|„Если память полиелейного святого или святого «со славословием» (средний праздник) выпадет на среду или пятницу, то разрешается только вкушения вина и елея".|1
15|3|3|Петров пост — хайвер|Вторник и четвъртък — позволен хайвер (и други мекотели: охлюви, морски дарове, октопод и др., записвани обобщено като „хайвер") — светогорска традиция.|
16|3|2|Петров пост — риба|„В субботы же и Недели ядим рыбы".|
17|4|6|Успенски пост — без олио (сухоядение)|„в Успенский пост, в понедельник, среду и пятницу положено сухоядение, трапеза одна в 9-й час".|
18|4|4|Успенски пост — с олио (събота/неделя)|В събота и неделя през Успенския пост е разрешена варена храна с олио и вино, с две трапези на ден.|
19|4|4|Успенски пост — с олио, заради светия|В понеделник, сряда или петък, ако се падне светия (вселенски или български) с бдение, полиелей или славословна служба, постът се отслабва до олио.|1
20|4|2|Успенски пост — риба (Преображение Господне)|„в Праздник Преображения Господня, выпавший в любой день недели, разрешаем на рыбу, вино и елей, поставляя две трапезы".|
21|5|7|Ден преди Навечерие Рождество Христово — буквално сухоядение|23 декември църковно — единственият случай, в който „сухоядение" не се тълкува като „без олио", а се спазва буквално.|
22|5|6|Рождественски пост — без олио (сухоядение)|„В понедельник, в среду и пяток ни елея вкушаем, ни вина, но постимся до 9-го часа, и ядим в тыя дни сухоядение".|
23|5|5|Навечерие на Рождество Христово — олио след вечерня|„ядим совершенно, рыбы же не ядим, но с древяномаслием (т.е. с растительным маслом), и сочиво обварено или кутию с медом; испиваем же и вина".|
24|5|4|Рождественски пост — с олио (предпразненство)|От 20 до 22 декември църковно (предпразненство на Рождество Христово) рибата и хайверът спират, но постът не се затяга обратно до сухоядение — остава с олио.|
25|5|4|Рождественски пост — с олио, заради светия|В понеделник, сряда или петък, ако се падне светия (вселенски или български) с бдение, полиелей или славословна служба — включително голям светия от изрично изброените дати (16, 25, 30 ноември; 4, 5, 6, 9, 17, 20 декември) — постът се отслабва до олио.|1
26|5|3|Рождественски пост — хайвер|Вторник и четвъртък — по аналогия с Петровия пост, светогорска традиция.|
27|5|2|Рождественски пост — риба (събота/неделя)|„В субботы же и Недели ядим рыбы". От 2 януари (Предпразненство на Рождество) нататък разрешението за риба отпада дори в събота и неделя: „с началом Предпразднества Рождества... разрешение на рыбу отменяется даже для субботних и воскресных дней".|
28|5|2|Рождественски пост — риба, заради голям светия|Ако във вторник или четвъртък се падне голям светия от изрично изброените дати (16, 25, 30 ноември; 4, 5, 6, 9, 17, 20 декември, църковно), рибата се разрешава вместо хайвер: „если случится великий святый, ноября: 16, 25, 30; декабря: 4, 5, 6, 9, 17, 20, то во вторник и в четверг, едим рыбу".|1
29|2|4|Велик пост — с олио (Обретение и свв.40 мчч.)|'На празника Намиране главата на св.Йоан Предтеча (независимо в кой ден от седмицата се пада) се разрешават две блюда (хранения) с олио и вино.
Същото се предписва и в деня на свв. 40 мъченици Севастийски. 
Цитат от Типика: «По отпусте же входим в трапезу, и ядим два варения с елеем, и пием вино». 
Допълнителен цитат: «Во Святыя же Горы Типице разсуждает: на святых мученик 40, на Предтечевы главы Обретение, в среду Крестопоклонную, на Великий канон и на Неседальное [т.е. Акафиста на Божията Майка в събота на 5-та седмица. - бел.ред.] ясти два варения со елеем и испивати по две чаши вина» (Типикон, гл. 49, «В четверток 5-я недели святых постов», «В сий же четверток»). '|
30|2|4|Велик пост — с олио (четвъртък на 5-та седмица)|'Съгласно Типикона, в четвъртък от 5-та седмица на Великия Пост (наричан още Стоенето на прп. Мария Египетска, когато също от предната вечер на утренята [богослужебният ден започва от вечерта] се изчита целия покаен канон на св. Андрей Критски), та поради молитвения труд се полага храна с олио и вино в 9-я час на деня (византийско време, което се равнява приблизително на 15:00ч.), а според Устава на Света Гора - Атон дори и две хранения – готвена храна с олио и вино. 
Цитат: «В сий же четверток... на Великий канон и на Неседальное [т.е. Акафиста на Божията Майка в събота на 5-та седмица. - бел.ред.] ясти два варения со елеем и испивати по две чаши вина» (Типикон, гл. 49, «В четверток 5-я недели святых постов», «В сий же четверток»). 
Допълнителен цитат: «В сий же четверток. Всю службу поем поскоро, труда ради бденнаго. Совершается же служба Преждеосвященных, в нейже приудостоившиися причащаются Святых Христовых Таинств. На трапезе же ядим елей и вино пием, труда ради бывшаго. Нецыи же уставы разрешати точию на вино попущают, на елей же не оставляют. Во Святыя же Горы Типице разсуждает: на святых мученик 40, на Предтечевы главы Обретение, в среду Крестопоклонную, на Великий канон и на Неседальное [т.е. Акафиста на Божията Майка в събота на 5-та седмица. - бел.ред.] ясти два варения со елеем и испивати по две чаши вина» (Типикон, гл. 49, «В четверток 5-я недели святых постов», «В сий же четверток»). '|
31|2|4|Велик пост — с олио (Велики четвъртък)|Съгласно Типикона, във Велики Четвъртък през Великия пост, се полага едно хранене след вечернята, съединена с Литургията на св. Василий Велики, т.е. веднъж за деня, вечер. Според устава на Света Гора - Атон се полагат две готвени ястия с олио и вино. «Таже входим в трапезу и ядим варение с елеем. Пием же и вино, и ино сухоядение, занеже поется Аллилуия. Студийския же обители Типик повелевает в Великий Святый Четверток ясти едино варение, и сочиво, и обварен боб, пием же и вино. Святыя же Горы Типик повелевает во Святый Великий Четверток ясти варения два с елеем и вина по три чаши. И сия вся како разсудит настоятель, зря свою о Христе братию произволяющу к душеспасительной пользе» (Типикон, гл. 49, «Во Святый и Великий Четверток вечера»). |
