table,date,name,kind
saints,2027-01-11,"Прав. Иосиф Обручник, цар Давид и Яков брат Господен по плът (преходно празнуване в неделя след Рождество Христово)",skip
saints,2026-05-06,Вмч. Георги Победоносец († 303) (Гергьовден),civil
saints,2026-09-06,Съединение на България,civil
saints,2026-11-01,Ден на народните будители,civil
saints,2026-07-12,Прп. Паисий Светогорец († 1994),civil
saints,2026-09-24,Прп. Силуан Атонски († 1938),civil
saints,2026-02-26,"Свт. Серафим, архиеп. Богучарски, Софийски чудотворец († 1950)",civil
saints,2026-10-22,"Прославление на светите мощи на свт. Евтимий, патриарх Търновски",civil
saints,2026-09-03,Намиране честните мощи на свт. Нектарий Егински (1953),civil
saints,2026-10-26,Вмц. Злата Мъгленска († 1795),civil_new:10-18
saints,2026-04-20,"Свщизп. Евстатий, презвитер Чепеларски († 20.IV.1956)",civil
saints,2026-11-08,"Свщмч. Борис, митр. Неврокопски († 1948)",civil
saints,2026-10-12,Възпоменание на пребиваването на мироточивата Монреалска чудотворна икона на Пресвета Богородица в България през 1995 г,civil
saints,2026-11-24,Икона на Пресвета Богородица „Иверска Монреалска мироточива“,civil
saints,2026-03-03,Освобождение на България,civil
