# Списък за масова замяна в ПРЕВЕДЕНИТЕ текстове.
#
# По двойка на ред, разделени с ТАБУЛАЦИЯ:   от <TAB> на
# Редовете с „#" са коментар, празните се пропускат.
#
# ⚠ Замяната е по ЦЕЛИ ДУМИ. „изверг" не пипа „низвергнат" — капанът, който
# веднъж роди „ннизвергнат" (виж CLAUDE.md, „Справочник и преводът му").
# Затова формите се изписват ПООТДЕЛНО: скриптът не скланя и не членува.
# Кои форми ги има реално, се вижда с:
#     python3 tools/corrections/apply.py --forms нарочит служен
#
# ⚠ Гъвкава е САМО първата буква. Един ред „страстотърпци" хваща и
# „Страстотърпци", но „по завръщането си" НЕ хваща „по завръщането Си" —
# вътрешните главни букви носят смисъл (Си = за Христа) и си имат свой ред.
#
# ⚠ „Богомайка" НЕ е тук. Тя иска решение по контекст (къде членът стои върху
# определението и къде липсва) и живее в apply.py като именувано правило.
#
# Пуска се:
#     python3 tools/corrections/apply.py --forms СТЪБЛО   # кои форми ги има
#     python3 tools/corrections/apply.py --dry-run        # какво би сменил
#     python3 tools/corrections/apply.py                  # нанася

# --- нарочит → нарочен (3 форми, 6 срещания) -------------------------------
нарочит	нарочен
нарочити	нарочни
нарочито	нарочно

# --- страстотърпец → страстотерпец (5 форми, 32 срещания) ------------------
страстотърпци	страстотерпци
страстотърпците	страстотерпците
страстотърпче	страстотерпче
страстотърпецо	страстотерпецо
страстотърпец	страстотерпец
страстотърпеца	страстотерпеца

# --- винагишен → постоянен (7 форми, 23 срещания) --------------------------
винагишна	постоянна
винагишната	постоянната
винагишно	постоянно
винагишното	постоянното
винагишни	постоянни
винагишните	постоянните
винагишен	постоянен
винагишния	постоянния
винагишният	постоянният

# --- по завръщането си → след завръщането си (4 срещания) ------------------
по завръщането си	след завръщането си
по завръщането Си	след завръщането Си

# --- цял израз (от житието на прп. Зосима Верховски) -----------------------
# Редът показва, че двойките не са само думи: съвпадението е по цели думи, а
# колко са те няма значение.
в градината или зеленчуковата градина	на двора или в зеленчуковата градина

# --- причеслил → причислил -------------------------------------------------
# ⚠ Към 17.08.2026 не се среща НИКЪДЕ (--forms причесл дава 0). Редовете
# стоят, за да не се проверява втори път, ако думата изплува по-късно.
причеслил	причислил
причеслен	причислен
причеслени	причислени

# --- служене → служение (226 + 61 срещания) --------------------------------
служене	служение
служенето	служението
богослужене	богослужение
богослуженето	богослужението
свещенослужене	свещенослужение
свещенослуженето	свещенослужението

# --- наваждение — НЕ СЕ ПИПА (решено 17.08.2026) ---------------------------
# Минаха се три хрумвания и трите отпаднаха. „Нападение" е грешно: изразът е
# „ПО дяволско наваждение бил изгонен" — причина, не действие, а на едно
# място щеше да е и повторение („и отново го НАПАДАШЕ като лъв").
# „Внушение" върши работа за причината, но не и за самото явяване („явяваше
# му се в много наваждения с ръст чак до тавана"). „Привидение" пък е
# мечтателно, докато наваждението може да е действително явяване.
# Накрая: думата съществува в българския точно с тези смисли и остава.

# ⚠ ЗАГЛАВИЕ, не дума. Първото <h3> на едно четиво влиза И В ИМЕТО НА PDF
# файла (виж `mainTitle` в pdf_export.dart), тъй че „Кратки жития на…" се
# разчиташе като име на светията. Освен това житието е под слъга на св.
# Кирил, а заглавието обещава двама — сега казва точно каквото следва.
# (Решено от потребителя, 01.09.2026.)
# ⚠ НА ДВЕ ЧАСТИ, а не като една фраза: в самото заглавие стои вътрешен
# линк към другия брат (`<a href="saint://sv-mefodij-moravskij">Методий</a>`),
# тъй че низът не е непрекъснат и цялата фраза не се намира.
Кратки жития на равноапостолните	Равноапостолни
учители славянски	учители славянобългарски

# ⚠ „Лето" е ГОДИНА, „лято" е сезонът. В „лето Господне благоприятно"
# (Ис. 61:2; Лк. 4:19) се има предвид ЮБИЛЕЙНАТА ГОДИНА — архаично, но
# разбираемо в тази съчетание. (Поправка по молба на потребителя,
# 14.09.2026.)
#
# ⚠⚠ Замяната е по ИЗРАЗА, не по думата: в същото четиво стои и законното
# „с края на лятото завършват жътвата", което е сезонът и не се пипа.
лято Господне	лето Господне
лятото Господне	летото Господне

# ⚠ Св. прав. Лазар е „Четверодневен" — четири дни в гроба. В базите стояха
# ДВЕ различни грешни изписвания: „Четридневен" (в житието) и
# „Четвородневен" (в името и в две слова). (18.09.2026)
Четридневен	Четверодневен
четвородневния	четверодневния
Четвородневен	Четверодневен
Четвородневният	Четверодневният

# ⚠⚠ ФРАЗАТА Е ПЪРВА И РЕДЪТ Е СЪЩЕСТВЕН. Приложи ли се „поменувание" преди
# нея, низът вече е станал „помен на покойниците" и фразовото правило няма
# какво да хване — а точно то сменя предлога („за", не „на"). (18.09.2026)
поменувание на усопшите	помен за покойниците
поменувание	помен
усопшите	покойниците
поменуване	поменаване
усопши	покойници
за разслабения	на разслабения
за самарянката	на самарянката
за слепия	на слепия

# ⚠ „друг Божий" е ВЯРНО на други места (руските жития, службите на
# църковнославянски, „друг Божи угодник"). Затова двойката е с ПЪЛНАТА
# сгрешена форма „другА Божий" — тя се среща само в едно заглавие.
друга Божий	приятел Божий
