line,offsets,starts
# line = пореден абзац в книгата (1-базиран); offsets = дни от Пасха, с „;" при няколко дни;
# starts = началото на абзаца — build.py го СВЕРЯВА и спира при разминаване.
3898,-70,"Неделя, в нюже чтется священное и святое"
3947,-63,"Неделя, в нюже чтется священное и святое"
3982,-57,В субботу мясопустную память совершаем о
4045,-56,Неделя мясопустная
4080,-56,В неделю мясопустную вечера
4086,-55,В понедельник сырный на утрени.
4106,-54,Во вторник сырный на утрени.
4119,-54,Во вторник вечера.
4141,-53,В среду сырную.
4216,-53,В среду вечера.
4218,-52,В четверток сырный.
4232,-52,В четверток сырный вечера.
4234,-51,"В пяток сырный вечера, память совершаем "
4254,-50,В субботу сырную на утрени.
4290,-49,"В неделю сыропустную, изгнание Адамово"
4371,-48,В понедельник первыя седмицы знаменает п
4662,-46,В среду 1-я седмицы вечера
4685,-44,"В пяток вечера во светильничное, по обыч"
4700,-43,В субботу 1-ю святых постов
4718,-42,Неделя первая святых постов
4773,-41,В понедельник 2-я седмицы постов.
4778,-37,В пяток 2-я седмицы вечера.
4790,-36,В субботу 2-ю постов на утрени.
4827,-35,Неделя 2-я святых постов
4864,-30,"В пяток вечера, на Господи воззвах, трио"
4871,-29,В субботу 3-я седмицы постов.
4877,-28,Неделя третия святых постов
4930,-26,Во вторник тояже седмицы вечера.
4937,-25,В среду 4-я седмицы на утрени:
4950,-23,В пяток же тоя седмицы:
4952,-22,В субботу 4-ю постов.
4957,-21,Неделя 4-я святых постов
4987,-18,В среду пятыя седмицы вечера: Звон в кра
4995,-17,В четверток пятыя недели святых постов.
5008,-16,В пяток 5-я седмицы вечера.
5020,-15,В субботу 5-я седмицы постов.
5054,-14,В неделю 5-ю святых постов
5082,-9,В пяток ваий на утрени.
5098,-8,В субботу святаго и праведнаго Лазаря
5130,-7,В субботу ваий вечера.
5198,-7,В неделю ваий вечера.
5210,-6,Во святый и великий понедельник на утрен
5244,-6,Во святый и великий понедельник вечера:
5264,-5,Во святый и великий вторник:
5285,-4,Во святую и великую среду на утрени.
5315,-4,Во святую и великую среду вечера:
5325,-3,Во святый и великий четверток.
5351,-3,Во святый великий четверток вечера.
5368,-2,Последование святых страстей Господа наш
5416,-2,Последование часов святаго великаго пятк
5496,-2,Во святый и великий пяток вечера.
5533,-1,Во святую и великую субботу
5589,-1,Во святую и великую субботу вечера
5636,0,Во святую и великую неделю Пасхи:
5836,0,Во святую и великую неделю пасхи вечера.
5876,1,В понедельник светлыя седмицы на утрени.
5900,1,В понедельник светлыя седмицы вечера.
5914,2,Во вторник светлыя седмицы на утрени.
5928,2,Во вторник светлыя седмицы вечера.
5939,3,В среду светлыя седмицы на Утрени.
5943,3,В среду светлыя седмицы вечера.
5954,4,В четверток светлыя седмицы на утрени.
5965,4,В четверток светлыя седмицы вечера.
5976,5,В пяток светлыя седмицы на утрени.
5987,5,В пяток светлыя седмицы вечера.
5999,6,В субботу светлыя седмицы на утрени восл
6012,7,"Неделя антипасхи, еже есть осязание свят"
6063,7,"В неделю антипасхи вечера,"
6082,8,В понедельник 2-я седмицы антипасхи на у
6126,13;20;34,"В субботу 2-ю антипасхи, и 3-я, и 5– я н"
6141,12,В пяток 2-я седмицы по пасце вечера.
6150,13,В субботу 2-я седмицы по пасце на утрени
6173,14,"Неделя 3-я по пасце, святых жен мироноси"
6251,15,В понедельник 3-я седмицы по Пасце на ут
6271,19,В пяток 3-я седмицы по Пасце вечера.
6278,20,В субботу 3-я седмицы по Пасце на утрени
6288,21,Неделя 4-я по пасце разслабленнаго.
6333,22,В понедельник 4-я седмицы по Пасце на ут
6337,23,Во вторник 4-я седмицы по Пасце вечера.
6353,24,В среду преполовения на утрени.
6377,24,В среду преполовения вечера.
6388,25,В четверток 4-я седмицы по Пасце утрени:
6390,26,В пяток 4-я седмицы по Пасце вечера: обы
6399,27,В субботу 4-я седмицы по пасце на утрени
6404,28,Неделя 5-я по Пасце самаряныни:
6463,29,В понедельник 5-я седмицы по пасце на ут
6467,30,Во вторник 5-я седмицы по Пасце вечера:
6471,31,В среду 5-я седмицы по Пасце вечера:
6476,32,В четверток 5-я седмицы по Пасце на утре
6480,34,В субботу 5-я седмицы по Пасце на утрени
6491,35,"Неделя 6-я по Пасце, о слепом:"
6547,36,В понедельник слепаго:
6552,37,Во вторник вечера отдание праздника Пасх
6568,38,В среду 6-я седмицы по Пасце:
6602,39,"В четверток 6-я седмицы по пасце, Вознес"
6691,39,"В четверток вечера, вознесения."
6708,40,В пяток Вознесения на утрени.
6719,41,В субботу 6-я недели на Литургии.
6726,42,"Неделя 7-я, святых трех сот 18 богоносны"
6803,43,В понедельник 6 недели на утрени:
6809,47,В четверток вечера 6-я седмицы отдание В
6815,48,"В пяток вечера пятдесятницы, память сове"
6817,49,Неделя святыя пентикостии.
6895,49,В неделю вечера святыя 50-цы.
6933,50,В понедельник Святаго Духа на полунощниц
6961,55,"В пяток вечера, кафисма рядовая."
6971,56,Неделя всех святых.
